2, 1, 20, 13, 10, 5, 27, 18, 4, 23, 7, 18, 26, 8, -1, 11, 7, 15, 20, 27, 25, 10, 4, 3, 14, 15, 14, 28, 0, 27, 18, 14, 24, 25, 5, 9, 10, 17, 25, 23, 14, 13, 8, 14, 28, 19, 11, 9, 16, 12
28, 6, 15, 9, 2, 7, 3, 5, 1, 13, 1, 17, 23, 11, 12, 15, 8, 7, 21, 7, 2, 1, 6, 15, 6, 9, 19, 12, 23, 12, 12, 11, 9, 20, 6, 7, 14, 20, 13, 3, -1, 16, 11, -1, 1, 4, 13, 7, 4, -1
21, 7, 16, 7, 27, 25, 2, 23, 21, 27, 20, 13, 9, 14, -1, 27, 8, -1, 17, 1, 28, 27, 17, 26, 19, 0, 21, 15, -1, 12, 3, -1, 21, 25, 28, 17, 23, 14, 24, 3, 23, 20, 18, 23, 0, 3, 23, 28, 1, 3
28, 13, 23, -1, 15, 0, 13, 23, 10, 14, 23, 27, 21, 13, -1, 11, 19, 20, 16, 4, 20, 5, 6, 18, 6, 21, 28, 12, 18, 10, 22, 10, 19, 28, 16, 6, 8, 7, 6, 15, 15, 1, 23, 17, 25, 9, 17, 27, 19, 17
1, 28, 4, 26, 0, 11, 22, 28, 24, 11, 10, 6, 9, 3, 21, 5, 2, 1, 13, 24, 26, 4, -1, 21, 25, 23, -1, 27, 26, 15, 21, 11, 28, 10, 18, 1, 14, 18, 17, 3, 25, 22, 28, 15, 24, 3, 16, 2, 15, 19
15, 23, 28, 23, 7, 17, 26, 2, 17, 15, 11, 5, -1, 9, 3, 19, 25, 26, -1, 0, 21, 9, 2, 0, 21, 3, 3, 26, 2, 22, 6, 12, 18, 0, 5, 1, 28, 20, -1, 14, -1, 18, 16, 23, 13, 16, 0, 1, 13, 16
9, 2, 23, 18, 6, 26, 11, 8, 17, 26, 21, 2, 15, 3, 26, 7, 4, 28, 21, 6, 16, 7, 7, 16, 11, 20, 11, 14, 12, 19, 23, 28, 17, -1, 2, 11, 9, 17, 16, 3, 13, 19, 5, 10, 23, 14, 20, 9, 2, 0
2, -1, 2, 21, 25, 5, 2, 22, 24, 2, 16, 9, 17, 12, 26, 8, 24, 10, 20, 18, 24, 10, 6, 1, 11, 6, 7, 2, 13, 9, 20, 3, 7, 3, 27, 23, 17, 26, 4, 5, 0, 27, 11, 21, 27, 20, 14, 19, 0, 26
14, 14, 17, 9, 28, 20, 18, 4, 17, 21, 8, 14, -1, 23, 19, 1, 2, 11, 2, 19, 11, 9, 13, 14, 8, -1, 25, 14, 15, 21, 2, 3, 24, 19, 6, 5, 8, 21, 27, 7, 0, 25, 28, 20, 27, 6, 9, -1, 8, 20
25, 12, 2, 21, 12, 8, 7, 25, 11, 22, 6, 15, 6, 11, 13, 5, 18, 23, 14, 18, 3, 24, 1, 5, 7, 10, 24, 4, 13, 26, 13, 26, 16, 17, 10, 11, 4, 10, 9, 4, 18, 10, 25, 13, 7, 5, 9, 19, 0, 28
22, 6, 6, 23, 5, 25, 1, 7, 26, 25, 8, 20, 19, 26, 25, 6, 2, 23, 18, 17, 11, -1, 27, 8, 22, 17, 26, 25, 12, 15, 26, 1, 23, 26, 18, 26, 0, 14, 21, 16, 25, 20, 5, -1, 2, 9, 10, 26, 22, 16
24, 20, 1, 1, 7, 4, 1, 3, 13, 17, 27, 15, 4, 24, 9, 14, 20, 18, 27, 27, 16, 17, 28, 9, 7, 9, 7, 24, 5, 21, 26, 20, 5, 9, 12, 22, -1, -1, 9, 7, 11, 17, 27, 27, 14, -1, 2, 10, 7, 2
19, 27, 5, 3, 22, 27, 13, 4, 5, 4, 8, 2, 7, 28, 8, 15, 0, 0, 25, 11, 21, 28, 11, 19, 21, 19, 28, 10, 15, 11, 27, 3, 11, 6, 13, 27, 0, 27, 8, 8, 28, 17, 18, 16, 17, 20, 7, 5, 23, 19
21, 28, 21, 24, 9, 14, 3, 4, 5, 12, 20, 2, 7, 7, 3, 22, 22, 18, 24, 5, 0, 16, 12, 8, 27, 27, 5, 1, 3, 9, 9, 15, 21, 5, 13, 10, 1, 15, 23, 5, -1, 26, 18, 6, 4, 4, 13, 14, 24, 10
22, 11, 23, 4, 9, 15, 10, 16, 4, 6, 27, -1, 9, 10, 12, 15, 4, 1, 25, 21, 25, 6, 3, 26, 9, 0, 12, 9, -1, 10, 17, 2, 17, 17, 21, 0, 27, 7, 28, 14, 14, -1, 15, 27, 24, 6, 13, 2, 6, 8
24, 24, 13, 22, 18, 26, 22, 24, 20, 6, 15, 16, 1, 14, 0, 26, 5, -1, 24, 27, 14, 19, 24, 19, 7, 15, 2, 0, 4, 8, 20, 21, 14, 26, 12, 7, 4, 6, 4, 18, 5, 25, 17, 19, 22, 9, 19, 7, 18, 10
25, 4, 4, 18, 11, 13, 18, 18, 28, 5, 24, 14, 4, 14, 3, 9, 10, 17, 11, 4, 7, 9, 16, 28, 20, 3, 1, 10, 22, 7, 8, 22, 6, 9, 22, 3, 16, 1, 26, 24, 24, 10, 25, 4, -1, 26, 13, 13, 5, 25
