5, 16, 26, 18, 27, 11, 28, 13, 15, 8, 20, 21, 10, 13, 15, 27, 6, 22, 20, 6, 13, 24, 1, 0, 15, -1, 16, 28, 12, 4
4, 12, 2, 10, 10, 10, 24, 19, 24, 8, 10, 23, 22, 18, 28, 3, 18, -1, -1, 6, 25, 17, 15, 18, 5, 4, 15, 0, 27, 1
6, 14, 4, 8, 13, 27, 1, 8, 14, 9, 7, 15, 9, 15, 9, 8, -1, 2, 25, 21, 2, -1, 15, 20, 27, 27, 11, 14, 13, 12
17, 22, 14, 15, -1, 11, 7, 7, 3, 23, 4, 23, 2, 7, 27, 9, 27, 21, 15, 26, 5, 15, 8, 15, 20, 1, 4, 22, 16, 16
16, 3, 15, 16, 28, -1, 3, 7, 8, 23, 0, 6, 20, 28, 21, 17, 20, -1, 10, 1, 13, 27, 19, 27, 27, 8, 18, 17, 0, 27
21, -1, 18, 9, 18, 23, 18, 7, 0, 1, 4, 19, 16, 3, 16, 21, 17, -1, 15, 11, 20, 21, 9, 20, -1, 4, 3, 9, 15, 5
25, 10, 8, 16, 27, 21, 0, 6, 7, 10, 14, 24, 1, 11, 22, 4, 13, 15, 24, 9, 9, 14, 13, 21, 21, 6, 3, 24, 27, 22
11, 24, 11, 11, 24, 3, 10, 17, 16, 3, 14, 1, 16, 9, 18, 16, 16, 17, 12, 7, 16, 17, 6, 28, 11, 0, 26, 2, 13, 6
22, 3, 1, 28, 1, 12, 5, 20, 0, 14, 9, 6, 22, 22, 8, 26, 24, 23, 24, -1, 17, 28, 13, 3, 11, 12, 27, 5, 22, 11
16, 7, 14, 20, 10, 26, 18, 22, 20, 5, 13, 0, 24, 10, 25, 21, 25, 21, 13, 7, 0, 24, 15, 19, 11, 8, 24, 10, 25, 11
12, 1, 3, 21, 20, 12, 16, 8, 19, 20, 16, 23, 12, 25, 3, 23, 8, 5, 6, -1, 25, 13, -1, 8, 26, 6, 25, -1, 24, 16
10, 12, -1, 27, 26, 11, 12, 12, 5, 12, 15, 12, -1, 6, 20, 4, 11, 21, 0, 9, 16, 12, 13, 14, 21, -1, 22, 9, 9, 15
22, 13, 25, 1, 0, 23, 8, 26, 20, 12, 6, 21, 9, 0, 12, 4, 0, 13, 16, 24, 22, 8, 10, 2, 18, 11, 26, 23, 13, 13
23, -1, 23, 23, -1, 0, 9, 18, 17, 27, 25, 11, 16, 17, 3, 19, 2, 23, 9, 22, 8, 5, 27, 3, 13, -1, 20, 2, 0, 9
24, 6, 12, 26, 19, 15, 17, 20, 4, 10, 21, 17, 19, 21, 28, 14, 27, -1, 7, 4, 1, -1, 1, 6, 10, 6, 28, 22, 24, 17
4, 8, -1, 27, 16, 7, 25, 19, 22, 20, 1, 19, 1, 25, 23, 22, 11, 20, 2, 3, 3, 5, 9, 18, 0, 10, 20, 24, 27, 1
17, 0, 11, 5, 2, 21, 25, 10, 3, 23, 6, 23, 14, 0, 20, 15, 5, 27, 10, 23, 2, 7, 19, 18, 5, 21, 11, 27, 24, 10
23, 24, 9, 19, 17, 20, 24, 21, 8, 28, 11, 12, 0, 1, 3, 12, 21, 1, 28, 28, 16, 27, 2, 26, 24, 2, 14, 6, 11, 19
15, 15, 23, 24, 22, 2, 23, 23, 25, 8, 28, 20, 24, 0, 26, 23, 8, 11, 1, 16, 15, 21, 3, -1, 3, 22, 14, 15, 25, 10
27, 21, 10, 13, 28, 0, 18, 12, 6, 14, 7, 9, 10, 12, 4, 18, 7, 23, 26, 24, 18, 28, 1, 18, 19, 0, 26, 12, 25, -1
25, 26, 9, 24, 25, 16, 21, 25, 5, 16, 2, 3, 21, 9, 22, 13, 3, 27, 15, 8, 18, 8, 6, 0, 19, 19, 5, 9, 25, 2
4, 27, 21, 17, 13, 4, 19, 0, 13, 24, 22, 11, 18, 9, 22, 21, 14, 26, 20, 15, 10, 17, 6, 23, 23, 6, 17, 6, 26, 18
13, 1, 1, 15, 16, 6, 18, 16, 19, 1, 20, 14, 13, 1, 25, 13, 19, 15, 10, 10, 23, 22, 27, 16, 4, 15, 17, 9, 20, 23
14, 11, 14, 10, 25, 2, 22, 10, 7, 20, 28, 12, 13, 17, 0, 12, 3, 0, 25, 12, 3, 12, 26, -1, 19, 28, 13, 1, 8, 28
18, -1, 2, 22, 11, 15, 10, 23, 4, 25, 0, 3, 27, 6, 23, 24, 10, 0, 0, 15, 23, 12, 13, 2, 3, 22, 17, 10, 22, 13
25, 1, 0, 17, 8, 6, 28, 17, 4, 0, 11, 4, 11, 16, 14, 27, 16, 10, 4, 25, 4, 26, 2, 27, 23, 17, 25, 15, 12, 19
-1, 5, 7, 13, 3, 2, 26, 18, 4, 18, 22, 8, 3, 8, 21, 24, 9, 15, 25, 10, 11, 27, 11, 22, 20, 17, 22, 24, 19, 23
11, 15, 20, 10, 24, 12, 11, 6, 7, 17, 13, 15, 1, 22, 28, 25, 23, 2, 24, 15, -1, 2, 19, 13, 20, 21, 25, 25, 11, 15
11, 16, 13, 7, 24, 13, 10, 14, 28, 20, 4, 3, 7, 10, 25, 13, 11, 28, 23, -1, 23, 0, 18, 15, 16, 25, 28, 2, 6, 20
20, 19, 16, 10, 18, 12, 19, 9, 15, 28, 28, 5, 13, 6, 4, 20, 24, 9, 15, 24, 6, 1, 14, 12, 25, 19, 23, 12, 11, 9
0,0
29,29
end
