24, 12, 25, 11, 6, 21, 28, 26, 25, 6, 17, 8, 17, 18, 20, 13, 8, 26, 19, 7, 16, 14, 20, 15, 24, 5, 19, -1, 13, 22, 2, 4, 11, 17, 20, 9, 7, 28, 0, 8, 13, 10, 6, 28, 24, 6, 2, 5
-1, 10, -1, 9, 3, 7, 0, 16, 21, -1, 2, 10, 5, 15, 6, 19, 9, 14, 25, 24, 8, 19, 5, 11, 23, 7, 22, 4, -1, 23, 18, 12, 20, 3, -1, 3, 4, 27, 20, 24, 1, 23, 2, 15, 13, 23, 16, 19
22, 6, 15, 23, 20, 23, 3, 26, 15, 19, 1, 1, 17, 15, 12, 28, 1, 13, 18, 25, 16, 6, 18, 5, 23, 18, 1, 13, 10, 16, 26, 6, 1, 28, 28, 17, 14, 4, 4, 19, 21, 5, 13, 15, 12, 1, 8, 21
0, 19, 18, 0, 26, 13, 5, 27, 24, 14, 13, 10, 17, 3, 22, 7, 25, 10, 11, 11, 22, 23, -1, 7, 0, 4, 25, 26, 3, 5, 14, 15, 10, 12, 1, 28, 15, 19, 11, 2, 19, 13, 8, 2, -1, 13, 5, 22
17, 15, 18, 19, -1, 5, 4, 26, 26, 22, 24, 7, 4, 4, 14, 25, 1, 17, 0, 3, 3, 19, 11, 6, 9, 21, 9, 14, 5, 4, 16, 7, 23, 0, 13, 5, 24, 8, 5, 12, 19, 26, 0, 17, 18, 28, 22, 6
5, 10, 19, 21, 15, 8, 7, 21, 2, 2, 2, 6, 17, 27, 11, 28, 22, 13, 19, 18, 27, 6, 4, 26, 26, 23, 13, 19, 1, 2, 25, 14, 23, 22, 26, 12, 28, 23, 18, 18, 6, 5, 11, 0, 17, 5, 13, 5
17, 26, 8, 0, 8, 13, 24, 1, 7, 18, -1, 21, 12, 12, 21, 19, 10, 13, 24, 9, 27, 27, 27, 16, 23, 11, 10, 20, -1, 17, 9, 11, 12, 16, 21, 14, 3, -1, 15, 11, 21, 13, 6, 6, -1, 8, 14, 19
23, 21, 5, 16, 10, 12, 0, 17, 18, 12, 21, 15, 19, 9, 1, 10, -1, 21, 28, 22, 27, 10, -1, 22, 25, 0, 18, 16, 2, 15, 28, 15, 2, 24, 2, 24, 2, 8, 8, 26, 23, 11, 7, 11, 10, 15, 27, 9
20, 4, 25, 8, 0, 15, 11, 27, 17, 18, 27, 12, 28, 20, 23, 24, 11, 18, 13, 17, 26, 22, 1, 15, 17, 3, 10, 18, 19, 9, 22, 8, 8, 6, 9, 3, 26, 16, 26, 10, 2, 9, 23, 7, 21, 4, 20, 8
0, 22, 22, 16, 12, 23, 5, 18, 20, 26, -1, 7, 0, 2, 13, 15, 3, 25, 19, 5, 2, 13, 1, 20, 25, 21, 9, 28, -1, 27, 6, 9, 7, 11, 18, 22, 0, 21, 24, 0, 6, 17, 19, 28, 1, 0, 23, 1
10, 23, 27, 14, -1, 12, 6, 0, 14, 13, 3, 20, 12, 7, 23, 20, 6, 21, 6, 3, 3, 0, 17, 22, 19, 9, 20, 22, 16, 10, 10, 27, -1, 9, 24, 15, 5, 14, 2, 26, 26, 24, 0, 16, 15, 14, 11, 21
17, 20, 20, 0, 9, 22, 11, 9, 7, 5, 2, 13, 16, 9, 20, 21, 11, 11, 23, 24, 23, 15, -1, 13, 7, 17, 26, 12, 25, 23, 10, 12, 4, 19, 21, 27, 15, 9, 23, 28, 5, 7, 5, 27, 26, 8, 7, 7
2, 14, -1, -1, 22, 4, 24, 10, 11, 13, 18, 15, 7, 7, 18, 1, 9, 3, 13, 25, -1, 11, 26, 28, 14, 11, 14, 21, 22, 5, 27, 7, 8, 5, 13, 19, 15, 8, 3, 7, 9, 5, -1, 19, 17, 26, 13, 17
-1, 2, 15, 17, 26, -1, 12, 13, 16, 11, 15, 27, 17, 18, 2, 12, 2, 20, 27, 0, 17, 11, 27, 20, 16, 22, 14, 1, 9, 25, 6, 12, 15, 9, 27, 17, 21, 20, 18, 26, -1, 3, 5, 14, 6, 5, 6, 26
