5, 28, -1, 4, 13, 19, 20, 25, 9, 15, 2, 24, 16, 12, 23, 27, 3, 8, 11, 0, 2, 4, 22, 5, 7, 13, 27, 27, 28, 14, 12, -1, 3, 12, 6
10, 9, 16, 19, 14, 20, 20, 25, 0, 6, 27, 16, 10, 27, 16, 8, 19, 17, 12, 2, 8, 18, 19, 24, 12, 15, 19, 1, -1, 11, 9, 20, 7, 18, 17
15, 7, 3, 18, 22, 20, 0, 8, 13, 17, 7, 25, 2, 27, 13, -1, 6, -1, 0, 19, -1, 2, 26, 0, 16, 24, 11, 11, 0, 24, 20, 17, 21, 25, 4
6, 4, 7, 28, 21, -1, 10, 25, 11, 23, 3, 11, -1, 26, 8, 13, -1, 5, 13, 18, 3, -1, 3, 11, 17, 4, 9, 6, 20, 28, 11, 2, 4, 16, 22
17, 14, 25, 14, 28, 3, 10, 10, 23, 19, 22, 8, 4, 9, 26, 18, 13, 23, 13, -1, 16, 4, 27, 12, 27, 1, 9, 2, 1, 26, 24, 7, 24, 4, -1
15, 8, 19, 13, 17, 9, 19, 22, 5, 4, 11, 23, 6, 17, -1, 17, 14, 0, 28, 19, 13, 17, 17, 20, 10, 13, 17, 7, 19, 15, 16, 8, -1, 4, 0
3, 14, 13, 23, 17, 28, -1, 16, -1, 1, 15, 17, 6, 1, 9, 28, -1, 27, 9, 25, 28, 5, 8, 19, 25, 2, 19, 3, 21, 27, 16, 2, 23, 22, 13
13, 8, 22, 5, 19, 3, 2, 26, 3, 18, -1, 0, 5, 18, 27, 2, 5, 17, 14, 24, 1, 3, 28, 28, 20, 11, 14, 19, 0, 3, 14, -1, 6, 17, 1
4, 4, 1, 15, 27, 17, 0, 27, 9, 2, 17, 14, 7, 0, 20, 17, 27, 14, 10, 2, 0, 21, 1, 22, 12, 12, 7, 25, 13, 0, 25, 27, 3, 21, 17
17, 20, 16, 11, 22, 28, 11, 28, 2, 3, 21, 21, 20, 5, 23, 27, 24, 19, 24, 28, 8, 24, 21, 18, 23, 26, 22, 17, 2, 24, 7, 0, 24, 17, 22
16, 6, 10, 22, 9, 23, 9, 12, 2, 27, 14, 4, 2, 0, 11, 1, 0, 10, 8, 2, 16, 22, 11, 28, 9, 14, 13, 11, 16, 27, 2, 9, 19, 23, 23
14, 24, -1, 14, 15, 25, 10, 0, -1, 28, 15, 3, 18, 11, 18, 23, 15, 22, 13, 11, 12, 27, 22, 2, 25, 19, 2, 14, 21, 5, 25, 21, 9, 6, 10
27, 21, 11, 5, 24, 5, 26, 1, 9, 22, 21, 6, 8, 26, 16, 21, 12, 0, 12, 13, 0, 28, 8, 4, 21, 15, 14, -1, 2, 23, 2, 11, 27, 15, 15
28, 0, 23, 8, 25, 21, 19, 21, 18, -1, 25, 8, 4, 5, 23, 18, 14, 7, 5, 12, 6, 25, 11, 18, 6, 8, 5, 22, 4, 8, 23, 24, 5, 22, 25
4, 22, 26, 11, 7, 26, 23, 9, 5, 9, 13, 0, 14, 26, 8, 10, 12, 22, 25, 16, 26, 13, 13, 6, 1, 13, 21, 16, 15, 21, 5, 10, 24, 28, 28
18, 22, 19, -1, 21, 10, 20, 15, 21, 5, 12, 1, 24, 9, 22, 20, 13, 7, -1, 23, 2, 16, 23, -1, 15, 22, 19, 6, 19, 25, 4, 9, 21, 11, 19
17, 0, 26, 28, 17, 10, 23, 7, 18, 20, 28, 2, 11, -1, 1, 12, 25, 14, 19, 19, 10, 11, 21, 28, 11, 14, 11, 2, 2, 13, -1, 15, 24, 18, 26
18, 24, 21, 12, 4, 19, 1, 19, 6, 9, 21, 26, -1, 14, 0, 2, -1, 9, 9, 1, 4, 0, 8, 22, 26, 22, 22, 13, 8, 24, 6, 11, 15, 19, -1
-1, 5, 7, 13, 6, 22, 6, 12, 26, 19, 7, 20, 25, -1, 17, 2, 18, -1, 20, 22, 9, 23, 10, 18, 15, 23, 8, 12, 16, 1, 23, 18, 16, 28, 5
9, 16, 13, 7, 25, 13, 25, 22, -1, 9, 8, 4, 1, 27, 28, 6, 1, 18, 26, 22, 8, 26, 21, 28, 9, 2, 8, 22, 12, 9, 22, 14, -1, 25, 13
9, 11, 16, -1, 2, 26, 19, 11, 19, 18, 23, 23, 23, 2, 17, 11, 15, 6, 9, 6, 6, 5, 15, 4, 11, 26, -1, 1, 8, 3, 18, 23, 1, 22, 28
24, 10, 23, 7, 14, 24, 13, 0, 19, 26, 16, 6, 15, 24, 2, 6, 7, 27, 10, 12, 5, 21, 11, 10, 0, 25, 10, 4, 19, 22, 15, 20, 22, 2, 17
15, 4, 23, 6, 0, 1, 12, 25, 28, 20, 11, 17, 5, 16, 22, 21, 10, 11, 18, 8, 25, 3, 22, 24, 2, 5, 3, 7, 7, 26, 20, 21, 5, 2, 8
3, -1, 17, 0, 12, 24, 10, 18, 24, 5, 17, 20, 10, 6, 24, 21, 1, 28, 13, 27, 21, 7, 27, 7, 16, 22, 9, 11, 15, 7, 19, 2, 5, 7, -1
10, 17, 25, 4, 3, -1, 0, 5, 15, 14, 27, 9, 5, 24, 0, 16, 22, 25, 19, 0, 13, 26, 4, 24, 24, 23, 9, 23, 24, 10, 20, 13, 4, 11, 5
-1, 13, 3, 14, 11, 15, 25, 23, 1, 10, 0, 9, 13, 26, 27, 28, 23, 8, 7, 16, 0, 23, 22, 19, 4, 19, -1, 12, 26, 8, 14, -1, 19, 17, 24
10, 6, 16, 28, 6, 12, 28, 5, 7, 22, 9, 9, 21, 26, 10, 6, 23, 6, 3, 2, 28, 3, 18, 27, 5, 20, 24, -1, 5, 17, 8, 27, 1, 0, 11
10, 2, 2, 26, 11, 2, 27, 14, 26, 1, 24, 9, 14, 3, 17, 23, 6, 26, 22, 10, 18, 23, 10, 8, 28, 11, 18, 10, 25, 21, 20, 3, 1, 12, 4
17, 14, 28, -1, 4, 17, 22, 17, -1, 1, 18, 22, 12, 3, 0, 25, -1, 14, 9, 14, 8, -1, 16, 12, 10, 6, 26, 16, 8, 19, 22, 13, 20, 14, 21
8, 4, 24, 20, 27, 5, 21, 4, 25, 12, 16, 10, 28, -1, 19, 15, 3, 26, 27, 16, 11, 7, 2, 19, 20, 4, 22, 2, -1, 19, 5, -1, 26, 25, 9
10, 11, 25, 27, 9, 25, 5, 3, 13, 1, 4, 21, 9, 20, 6, 19, 11, 8, 5, 11, 3, 10, 27, 25, 17, 4, 26, 9, 4, 4, 11, 5, 5, 27, 13
22, 25, 13, 19, 19, 1, 0, 17, -1, 2, 0, 26, 19, 3, 3, 21, 12, -1, 19, 23, 5, 19, 16, 15, 12, 16, 27, 18, -1, 25, 11, 25, 26, 22, 9
25, 18, 18, 10, 21, 3, 18, 9, 14, 23, 26, 4, 5, 0, 11, 15, 1, 28, 17, 25, 16, 24, -1, 23, 14, 15, 27, 12, 0, 11, 11, 15, 26, 20, 13
12, 27, 27, 3, 16, 13, 1, 17, 2, 26, 26, 14, 20, 24, 2, 0, 5, 11, 27, 8, 8, 28, 28, 22, 21, 6, 12, 18, 8, 14, 23, 20, 7, 11, 13
12, 19, 23, 4, 21, 17, 1, 22, 25, 11, 1, 19, 17, 7, 10, 18, 2, -1, 11, 25, 24, 20, 4, 24, 12, 18, 25, 28, 17, 16, 22, 21, 20, 19, 3
0,0
34,34
end
