13, 16, 22, 8, 7, 13, 10, 0, 19, 28, 6, 6, 5, 1, 1, 9, 16, 9, 7, 14, 0, 4, 23, 2, 2, 15, 27, 24, 14, 15, 12, 20, 11, 21, 12, 9, 27, 13, 9, 10
22, 4, 27, 11, 2, 25, 17, 18, 20, 25, 14, 23, 24, 17, 19, 26, 0, 24, 16, 3, 25, -1, 26, 14, 2, 8, 24, 21, 14, 16, 18, 26, 0, 11, 2, 6, 18, 5, 20, 7
25, 0, 19, 8, 11, 4, 19, -1, 17, 1, 8, 26, 8, 2, 25, 27, 11, 2, 9, 3, 27, 10, 9, 17, -1, 11, 10, 17, 27, 3, 16, 25, 6, 9, 28, 28, 0, 25, 0, 7
27, 9, 3, 1, 27, 6, 19, 13, 5, 3, 15, 9, 2, 12, 16, 9, 11, 11, 24, 2, 11, -1, 14, 20, 18, 22, 28, 24, 4, 7, 14, 12, 25, 9, 1, 9, 16, 20, 12, 15
13, 9, 8, 18, 4, 21, 6, 19, 10, 10, 20, 1, 9, 3, -1, -1, 15, 25, 5, 25, 14, 3, 28, 11, 13, 28, 25, 27, 18, 14, 25, 7, 8, 17, 6, 17, 6, 18, 14, 28
27, 10, 25, -1, 14, 8, 14, 16, 21, 28, 19, 3, 2, 14, 4, 0, 7, 27, 15, 25, 12, 13, 6, 12, 8, 22, 4, 15, -1, 16, 3, 20, 17, 14, 11, 7, 17, -1, 6, 3
15, 4, 5, 19, 11, 4, 10, 28, 1, 15, 26, 22, 18, -1, 23, 10, 25, 8, 16, -1, 6, 27, 13, 14, 17, 28, 28, 4, 5, 15, 9, 8, 9, 2, 5, 22, -1, 2, 22, 20
28, 20, 21, 22, 5, 27, 6, 21, 20, 16, 17, 24, 3, 16, 15, 21, 1, 9, 23, 8, 28, 12, 4, 6, 10, 4, 8, 10, 28, 14, 24, 3, 17, 24, 26, 9, 27, 9, 15, -1
20, 28, 10, 14, 16, 5, 5, 26, 0, 22, 4, 12, 18, 27, 28, 3, 0, 11, 26, 24, 10, 8, 24, 17, 3, 26, 12, 18, 11, 6, 10, -1, 27, 2, 4, 25, 15, 19, 12, 23
25, 25, 10, 2, 3, 28, 14, 18, 12, 20, 17, 11, 7, 26, 19, 26, 4, 9, 1, 18, 6, 9, 15, 24, 4, 27, 2, -1, 7, 25, 4, 13, 12, -1, 4, 20, 15, 12, 7, 16
17, 10, 5, 15, 9, 2, 9, 16, 18, 8, 13, 14, 18, 7, 28, 15, 24, 11, 27, 26, 23, 3, 2, 14, 7, 16, 13, 3, 18, 20, 28, 5, 16, 11, 3, 16, 14, 23, 27, 18
