25, 15, 11, 6, 15, 11, 11, 5, 16, 25, 21, 9, 10, 28, 18, 15, 15, 1, 12, 4, 17, 19, 21, 0, 2, 10, 28, 26, 6, 12, 14, 10, 27, 21, 2, 18, 0, 16, 3, 10, 26, 16, 25, 2, 24
21, 12, 17, 27, 9, 6, 22, 9, 23, 20, 20, -1, 16, 6, 0, 28, 1, 23, 7, -1, 20, 7, 2, 6, 5, 3, 2, 6, 21, 2, 9, 9, 27, 6, 2, 20, -1, 1, 10, 12, 11, 6, 2, 16, 5
16, 10, 1, 14, 25, 11, 13, 22, 2, 10, 15, 1, 12, 13, 13, 6, 25, 1, 20, 6, 4, 16, 14, 25, 28, 7, 7, 14, 15, 14, 26, 26, 8, 28, 15, 16, 9, 0, 20, 24, 4, 4, 1, -1, 1
4, 8, 16, 18, 18, 24, 2, 10, 13, 10, 3, 2, 14, 6, 23, 26, 4, 4, 28, 18, 4, 19, 7, 0, 0, 19, 15, 24, 3, 9, 12, 10, 22, 4, 22, 3, 5, 7, 3, 4, 26, 25, 28, 16, 12
17, 12, 15, 21, 17, 4, 16, 1, 27, 20, 8, 28, 16, 22, 6, 16, -1, 24, 6, 8, 6, 8, 2, 23, 26, 25, 0, 17, 3, 5, 11, 21, 22, -1, 24, 26, 18, 17, 26, 4, 24, 23, 26, 4, 23
17, 9, 3, 23, 15, 17, 15, 3, 24, 5, 18, 0, 5, 16, 28, 19, 8, 25, 26, 9, 0, 22, 12, 23, 20, 9, 14, 10, 8, 16, 12, 8, 24, 8, 25, 4, 23, 26, -1, 6, 4, 6, 6, 10, 20
22, 27, 23, 6, 7, 17, 21, 13, 25, 21, 9, 9, 28, 7, 9, 17, 3, 14, 19, 28, 6, 6, 26, 6, -1, 14, 7, 11, 7, 9, 12, 8, 13, -1, 16, 19, 18, 6, 10, 2, 15, 27, 8, 22, 13
23, 24, 12, 3, 0, 23, 3, 1, 3, 28, 27, 17, 19, 15, 8, 12, 16, 12, 8, 17, 9, 5, 20, 26, 16, 2, 11, 25, 21, 23, 18, 3, 26, 26, 4, 22, 12, 18, 6, 3, 28, 3, 15, 27, 9
28, 19, 19, 3, 12, 18, 8, 7, 8, 26, 27, 0, 19, 2, 12, 14, 13, 14, -1, 25, 3, 25, 18, 20, 8, 10, 18, 24, 19, 26, 25, 0, 13, 6, 28, 14, 21, 18, 5, 2, 9, 14, -1, 10, 8
5, 19, 7, 18, 28, 25, 28, 26, 15, 0, 9, 5, 6, 12, 7, 28, 27, 27, 21, 1, 24, 8, 4, 5, 2, 25, 14, 18, 6, 10, 26, 25, 7, 13, 26, 5, 16, 19, 20, 21, 21, 15, 5, 26, 7
24, 14, 25, 9, 1, 22, 17, 20, 14, 26, 21, 23, 4, 23, 26, 22, 7, 5, 14, 1, 28, 21, 9, 12, 4, 1, 23, 27, 21, 4, 5, 2, 8, 18, 28, 5, 12, 5, 27, 8, 1, 4, 19, 21, 24
11, 13, 6, 8, 20, 6, 23, 23, 12, 12, 27, 12, 13, 5, 26, 0, 21, 20, 7, 3, 20, 12, 3, 23, 16, 16, 2, 25, 19, 1, 24, 25, 20, 2, 23, 9, -1, 22, 27, 24, 13, 22, 9, 0, 11
